id,full_text,favorites,retweets,mentions,user,fecha_publicado
183721,Flying home to run down from the power to coming right up. 💁‍♂️😭 Today we have devalued their.,23.0,,10.0,leonardokuffo,27/01/2023
183722,Today we commemorate and MNML Case.,500.0,21.0,,mateusmartins,27/01/2023
183723,Today we have reached US$6.55 Billion TT$44…,190.0,123.0,6.0,pedrojuarez,28/01/2023
183724,Faking It by Joel Atwell. Written by Other countries have devalued their currency retrenched thousands?,131.0,76.0,3.0,galocastillo,28/01/2023
183725,Welcome back! 🙌,113.0,130.0,9.0,pedrojuarez,28/01/2023
183726,Contest: Win a fan of his ass. #thatisall Thanks!,492.0,70.0,6.0,mateusmartins,29/01/2023
183727,80's & friends! ✈️,158.0,40.0,22.0,leonardokuffo,29/01/2023
183728,Thank you guess how did I feel somewhat offended tha,,50.0,10.0,pedrojuarez,29/01/2023
183729,OnePlus 8 international giveaway classifies,198.0,82.0,26.0,pedrojuarez,30/01/2023
183730,Here it is.. Retweet this desperate,272.0,92.0,29.0,mateusmartins,31/01/2023
183731,Great to advertise during the year I tweeted a lot from Prague,43.0,111.0,8.0,mateusmartins,31/01/2023
183732,Its been in love with the game with the original Monokai colorization for programming,349.0,44.0,19.0,mateusmartins,31/01/2023
183733,Programming is the best!,467.0,69.0,10.0,leonardokuffo,01/02/2023
183734,I cannot believe this!,50.0,24.0,22.0,leonardokuffo,01/02/2023
183735,Buy this product NOW!!,418.0,24.0,2.0,gabrielcarvajal,01/02/2023
183736,I have one is best color gradients: Just released some photos,361.0,92.0,1.0,pedrojuarez,02/02/2023
183737,PIC!!,346.0,115.0,24.0,lucasperes,03/02/2023
183738,hmmm feeling bad today,296.0,93.0,29.0,gabrielcarvajal,04/02/2023
183739,not feeling god right now,315.0,26.0,10.0,galocastillo,05/02/2023
183740,Programming is a hot topic!,133.0,145.0,15.0,lucasperes,05/02/2023
183741,Programming? i love it!,92.0,146.0,1.0,galocastillo,05/02/2023
183742,WHAT???,255.0,73.0,17.0,galocastillo,05/02/2023
183743,Amazing video by Leonardo!,432.0,95.0,18.0,lucasperes,06/02/2023
183744,Thanks man!,430.0,143.0,28.0,lucasperes,07/02/2023
183745,There is nothing better than programming!,424.0,110.0,29.0,lucasperes,02/03/2023
183746,BORED AF,488.0,28.0,27.0,gabrielcarvajal,02/03/2023
183747,I do not know if i like programming or other thing better,318.0,58.0,20.0,isabelladasilva,03/03/2023
