dataset,cat1,cat2,cat3,otros
arade4,49.759494925960446,20.770575015015016,6.2806104003313665,23.189319658693165
basel_temp_f,73.69547333333334,22.56998391666667,0.29134119833333333,3.443201551666661
basel_wind_f,67.39094916666666,24.5996075,2.9850262499999998,5.024417083333333
bird_migration_f,44.973576470588235,28.504147058823527,13.051469411764705,13.470807058823539
bitcoin_f,68.70115,7.519535,1.025393,22.753922000000003
bitcoin_transactions_f,59.00607733333333,10.651040177777777,7.9014756,22.441406888888892
city_temperature_f,55.76615900599224,18.47031784631653,15.352960132604865,10.410563015086367
cms1,50.30159863616317,11.414798782811465,4.40532516292172,33.878277418103636
cms25,8.793950499680266,3.629490892568909,1.9312626897574419,85.64529591799338
cms9,99.88924915656008,0.07361902327453142,0.017582431003307607,0.019549389162079933
food_prices,63.30773631368631,17.856899334165835,8.406486493006993,10.428877859140854
gov10,60.208603399460145,25.086608490182563,7.214388024872294,7.490400085485007
gov26,99.79517836753352,0.16038565559296453,0.015083232212515237,0.029352744660997132
gov30,92.89928016340629,4.821981350471643,1.1474524612483312,1.1312860248737309
gov31,96.33988146586753,2.1083478308759505,0.9384377534001858,0.6133329498563285
gov40,99.38124858144192,0.42169563108782726,0.0754253793362164,0.12163040813403825
medicare1,49.50230853693495,10.401369959757442,4.88734534244763,35.208976160859976
medicare9,99.88861355016539,0.07444268412348401,0.017485527960308708,0.019458237750825447
neon_air_pressure,54.88933233774249,38.49436520517797,6.163987571602983,0.45231488547655374
neon_bio_temp_c,80.2701315102234,13.329420191004916,5.406992845458359,0.9934554533133308
neon_dew_point_temp,78.09969496879138,13.32157220919236,7.914386084736146,0.6643467372801126
neon_pm10_dust,85.99175694444445,8.565718810185185,4.559099753703704,0.8834244916666592
neon_wind_dir,80.31169537317813,8.408062421629246,4.886640596070779,6.393601609121845
ssd_hdd_benchmarks_f,57.312,24.523912499999998,5.37109125,12.792996250000002
stocks_de,60.142839883414815,24.486719134543062,11.630959444368184,3.7394815376739388
stocks_uk,53.510610002590006,25.589716189201415,12.414022285055685,8.485651523152896
stocks_usa_c,77.14656106256693,14.00574443056069,6.394910459426062,2.452784047446329
