fecha,DAIRY,MEATS,SEAFOOD
2015-01,1134521.0,543117.728891,40465.835012
2015-02,1020747.0,498735.076839,36066.5610027
2015-03,1234851.0,546517.159221,43808.473074300004
2015-04,1181180.0,522304.280744,39983.4710025
2015-05,1293308.0,591691.899734,42506.832015
2015-06,1243588.0,565014.130035,38780.5520041
2015-07,1244815.0,594903.677368,38535.5880059
2015-08,1263428.0,581214.143026,37767.5809975
2015-09,1224619.0,562711.633157,41906.3740102
2015-10,1314827.0,580788.361242,41423.9629634
2015-11,1283672.0,535908.927954,38823.7610112
2015-12,1394582.0,567381.391078,33728.2769727
